计数,名称,面积,全局宽度,长度,差值 X,差值 Y,差值 Z,端点 X,端点 Y,端点 Z,角度,起点 X,起点 Y,起点 Z
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,20802.1085,9870.0000,0.0000,180,22002.1085,9870.0000,0.0000
1,直线,,,500.0000,500.0000,0.0000,0.0000,23200.0000,5300.0000,0.0000,0,22700.0000,5300.0000,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,20802.1085,9930.0000,0.0000,180,22002.1085,9930.0000,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,20802.1085,10000.0000,0.0000,180,22002.1085,10000.0000,0.0000
1,直线,,,1200.0000,-1200.0000,0.0000,0.0000,20802.1085,9800.0000,0.0000,180,22002.1085,9800.0000,0.0000
1,直线,,,2242.7832,2242.7832,0.0000,0.0000,-370.2198,3096.8401,0.0000,0,-2613.0030,3096.8401,0.0000
1,直线,,,195.8002,195.8002,0.0000,0.0000,19551.0542,2142.0818,0.0000,0,19355.2540,2142.0818,0.0000
1,直线,,,30.0000,0.0000,-30.0000,0.0000,19355.2540,2112.0818,0.0000,270,19355.2540,2142.0818,0.0000
1,多段线,0.0000,0.0000,30.0000,,,,,,,,,,
1,直线,,,1877.2167,1877.2167,0.0000,0.0000,28991.0871,9900.0000,0.0000,0,27113.8705,9900.0000,0.0000
1,直线,,,1420.4531,1420.4531,0.0000,0.0000,19355.2540,2142.0818,0.0000,0,17934.8010,2142.0818,0.0000
1,直线,,,198.0852,195.8002,-30.0000,0.0000,19551.0542,2142.0818,0.0000,351,19355.2540,2172.0818,0.0000
1,直线,,,3983.5407,0.0000,-3983.5407,0.0000,19946.2516,7641.5785,0.0000,270,19946.2516,11625.1193,0.0000
1,直线,,,3105.6404,3105.6404,0.0000,0.0000,-499.4851,11506.3410,0.0000,0,-3605.1256,11506.3410,0.0000
1,直线,,,3053.1991,3053.1991,0.0000,0.0000,22999.4506,11625.1193,0.0000,0,19946.2516,11625.1193,0.0000
1,直线,,,198.0852,-195.8002,-30.0000,0.0000,19355.2540,2112.0818,0.0000,189,19551.0542,2142.0818,0.0000
1,直线,,,3431.6750,3431.6750,0.0000,0.0000,18551.0542,2480.8803,0.0000,0,15119.3793,2480.8803,0.0000
1,直线,,,1000.0000,0.0000,1000.0000,0.0000,2301.0542,5100.0000,0.0000,90,2301.0542,4100.0000,0.0000
1,直线,,,1000.0000,1000.0000,0.0000,0.0000,5101.0542,5300.0000,0.0000,0,4101.0542,5300.0000,0.0000
1,直线,,,1000.0000,0.0000,1000.0000,0.0000,1901.0542,5100.0000,0.0000,90,1901.0542,4100.0000,0.0000
1,直线,,,750.0000,-750.0000,0.0000,0.0000,-750.0000,6750.0000,0.0000,180,0.0000,6750.0000,0.0000
1,直线,,,750.0000,-750.0000,0.0000,0.0000,-750.0000,5250.0000,0.0000,180,0.0000,5250.0000,0.0000
1,直线,,,1000.0000,-1000.0000,0.0000,0.0000,6101.0542,5300.0000,0.0000,180,7101.0542,5300.0000,0.0000
1,直线,,,1000.0000,-1000.0000,0.0000,0.0000,8101.0545,1500.0001,0.0000,180,9101.0545,1500.0001,0.0000
1,直线,,,1500.0000,0.0000,1500.0000,0.0000,23101.0542,4550.0000,0.0000,90,23101.0542,3050.0000,0.0000
1,直线,,,800.0000,-800.0000,0.0000,0.0000,8301.0542,9500.0000,0.0000,180,9101.0542,9500.0000,0.0000
1,直线,,,1000.0000,-1000.0000,0.0000,0.0000,6101.0545,5000.0001,0.0000,180,7101.0545,5000.0001,0.0000
1,直线,,,800.0000,0.0000,-800.0000,0.0000,7301.0542,7000.0000,0.0000,270,7301.0542,7800.0000,0.0000
1,直线,,,1000.0000,0.0000,1000.0000,0.0000,2301.0542,7900.0000,0.0000,90,2301.0542,6900.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,130.0000,0.0000,0,16300.0000,130.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,70.0000,0.0000,0,16300.0000,70.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,0.0000,0.0000,0,16300.0000,0.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,15400.0000,70.0000,0.0000,0,14200.0000,70.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,17500.0000,200.0000,0.0000,0,16300.0000,200.0000,0.0000
1,直线,,,900.0000,900.0000,0.0000,0.0000,19600.0000,200.0000,0.0000,0,18700.0000,200.0000,0.0000
1,直线,,,1500.0000,0.0000,-1500.0000,0.0000,0.0000,5250.0000,0.0000,270,0.0000,6750.0000,0.0000
1,直线,,,1000.0000,0.0000,1000.0000,0.0000,1901.0542,7900.0000,0.0000,90,1901.0542,6900.0000,0.0000
1,直线,,,900.0000,900.0000,0.0000,0.0000,19600.0000,70.0000,0.0000,0,18700.0000,70.0000,0.0000
1,直线,,,900.0000,900.0000,0.0000,0.0000,19600.0000,0.0000,0.0000,0,18700.0000,0.0000,0.0000
1,直线,,,900.0000,900.0000,0.0000,0.0000,19600.0000,130.0000,0.0000,0,18700.0000,130.0000,0.0000
1,直线,,,750.0000,750.0000,0.0000,0.0000,23851.0542,3050.0000,0.0000,0,23101.0542,3050.0000,0.0000
1,直线,,,1225.0000,0.0000,1225.0000,0.0000,18551.0542,2750.0000,0.0000,90,18551.0542,1525.0000,0.0000
1,直线,,,1225.0000,0.0000,1225.0000,0.0000,18801.0542,2750.0000,0.0000,90,18801.0542,1525.0000,0.0000
1,直线,,,50.0000,0.0000,-50.0000,0.0000,18243.9851,1475.0000,0.0000,270,18243.9851,1525.0000,0.0000
1,直线,,,1286.6610,1286.6610,0.0000,0.0000,19530.6461,1475.0000,0.0000,0,18243.9851,1475.0000,0.0000
1,直线,,,50.0000,0.0000,-50.0000,0.0000,17616.1349,2750.0000,0.0000,270,17616.1349,2800.0000,0.0000
1,直线,,,1225.0000,0.0000,1225.0000,0.0000,19051.0542,2750.0000,0.0000,90,19051.0542,1525.0000,0.0000
1,直线,,,224.4924,213.4886,-69.4225,0.0000,19905.8256,2103.4303,0.0000,342,19692.3371,2172.8528,0.0000
1,直线,,,150.7859,142.8501,48.2727,0.0000,19835.1871,2221.1255,0.0000,19,19692.3371,2172.8528,0.0000
1,直线,,,625.2373,-236.2753,-578.8745,0.0000,19835.1871,2221.1255,0.0000,248,20071.4624,2800.0000,0.0000
1,直线,,,1225.0000,0.0000,1225.0000,0.0000,19301.0542,2750.0000,0.0000,90,19301.0542,1525.0000,0.0000
1,直线,,,1225.0000,0.0000,1225.0000,0.0000,19551.0542,2750.0000,0.0000,90,19551.0542,1525.0000,0.0000
1,直线,,,1307.0692,1307.0692,0.0000,0.0000,19551.0542,1525.0000,0.0000,0,18243.9851,1525.0000,0.0000
1,直线,,,6936.1375,6936.1375,0.0000,0.0000,14393.8098,-9837.9684,0.0000,0,7457.6723,-9837.9684,0.0000
1,直线,,,6936.1375,6936.1375,0.0000,0.0000,14393.8098,-10037.9684,0.0000,0,7457.6723,-10037.9684,0.0000
1,直线,,,800.0000,0.0000,-800.0000,0.0000,22900.0000,7900.0000,0.0000,270,22900.0000,8700.0000,0.0000
1,直线,,,750.0000,750.0000,0.0000,0.0000,23851.0542,4550.0000,0.0000,0,23101.0542,4550.0000,0.0000
1,直线,,,800.0000,-800.0000,0.0000,0.0000,19401.0542,5200.0000,0.0000,180,20201.0542,5200.0000,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,10973.8627,16366.0337,0.0000,0,9773.8627,16366.0337,0.0000
1,直线,,,1827.4773,1827.4773,0.0000,0.0000,20071.4624,2800.0000,0.0000,0,18243.9851,2800.0000,0.0000
1,直线,,,1807.0692,1807.0692,0.0000,0.0000,20051.0542,2750.0000,0.0000,0,18243.9851,2750.0000,0.0000
1,直线,,,1615.0595,0.0000,1615.0595,0.0000,10973.8627,-5413.4452,0.0000,90,10973.8627,-7028.5047,0.0000
1,直线,,,1615.0595,0.0000,-1615.0595,0.0000,10973.8627,14750.9742,0.0000,270,10973.8627,16366.0337,0.0000
1,直线,,,1200.0000,1200.0000,0.0000,0.0000,10973.8627,-7028.5047,0.0000,0,9773.8627,-7028.5047,0.0000
1,直线,,,900.0000,-900.0000,0.0000,0.0000,-900.0000,7419.0130,0.0000,180,0.0000,7419.0130,0.0000
1,多段线,4845000.0000,0.0000,6250.0000,,,,,,,,,,
1,多段线,5490000.0000,0.0000,6650.0000,,,,,,,,,,
1,直线,,,200.0000,0.0000,-200.0000,0.0000,19600.0000,0.0000,0.0000,270,19600.0000,200.0000,0.0000
1,多段线,0.0000,0.0000,900.0000,,,,,,,,,,
1,直线,,,200.0000,0.0000,-200.0000,0.0000,18700.0000,0.0000,0.0000,270,18700.0000,200.0000,0.0000
1,直线,,,13398.5453,0.0000,13398.5453,0.0000,20201.0542,11888.5391,0.0000,90,20201.0542,-1510.0062,0.0000
1,直线,,,3641.6275,3641.6275,0.0000,0.0000,2101.0542,2100.0000,0.0000,0,-1540.5733,2100.0000,0.0000
1,直线,,,7333.1657,7333.1657,0.0000,0.0000,25434.2199,5000.0000,0.0000,0,18101.0542,5000.0000,0.0000
1,直线,,,8980.8251,8980.8251,0.0000,0.0000,7101.0542,5100.0000,0.0000,0,-1879.7708,5100.0000,0.0000
1,直线,,,13398.5453,0.0000,13398.5453,0.0000,17301.0542,11888.5391,0.0000,90,17301.0542,-1510.0062,0.0000
1,直线,,,8993.3328,8993.3328,0.0000,0.0000,7101.0542,6900.0000,0.0000,0,-1892.2786,6900.0000,0.0000
1,直线,,,200.0000,0.0000,-200.0000,0.0000,17500.0000,0.0000,0.0000,270,17500.0000,200.0000,0.0000
1,直线,,,200.0000,0.0000,-200.0000,0.0000,8500.0000,0.0000,0.0000,270,8500.0000,200.0000,0.0000
1,直线,,,200.0000,0.0000,-200.0000,0.0000,9700.0000,0.0000,0.0000,270,9700.0000,200.0000,0.0000
1,直线,,,200.0000,0.0000,-200.0000,0.0000,7300.0000,0.0000,0.0000,270,7300.0000,200.0000,0.0000
1,直线,,,200.0000,0.0000,-200.0000,0.0000,5200.0000,0.0000,0.0000,270,5200.0000,200.0000,0.0000
1,直线,,,200.0000,0.0000,-200.0000,0.0000,6400.0000,0.0000,0.0000,270,6400.0000,200.0000,0.0000
1,直线,,,200.0000,0.0000,-200.0000,0.0000,10900.0000,0.0000,0.0000,270,10900.0000,200.0000,0.0000
1,直线,,,200.0000,0.0000,-200.0000,0.0000,15400.0000,0.0000,0.0000,270,15400.0000,200.0000,0.0000
1,直线,,,200.0000,0.0000,-200.0000,0.0000,16300.0000,0.0000,0.0000,270,16300.0000,200.0000,0.0000
